ANGKATAN;JENIS_KELAMIN;PROSES_MASUK;NAMA_SEKOLAH;KOTA_SEKOLAH;JURUSAN_SEKOLAH;PRODI;LAMA_STUDI;IPK;
13;Pria;Nilai Rapor >= 7.00;SMA;JAKARTA;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,00;3,15;
13;Pria;Nilai Rapor >= 7.00;SMA;LUAR KOTA;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,50;3,21;
13;Pria;Nilai Rapor >= 7.00;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,50;3,16;
13;Pria;Nilai Rapor >= 7.00;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,50;3,20;
13;Pria;BEASISWA;SMA;JAKARTA;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;3,50;3,56;
13;Pria;Nilai Rapor >= 7.00;SMA;JAKARTA;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,00;3,29;
13;Pria;Nilai Rapor >= 7.00;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;6,50;2,93;
13;Pria;BEASISWA;SMK;JAKARTA;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,00;3,19;
13;Pria;BEASISWA;SMK;JAKARTA;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;3,50;3,85;
13;Pria;Nilai Rapor >= 7.00;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;5,00;2,96;
13;Pria;Nilai Rapor >= 7.00;SMA;LUAR KOTA;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,50;3,02;
13;Wanita;Nilai Rapor >= 7.00;SMA;LUAR KOTA;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,00;3,51;
13;Wanita;BEASISWA;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;3,50;3,51;
13;Pria;Nilai Rapor >= 7.00;SMA;TANGERANG;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;4,50;3,08;
13;Pria;Nilai Rapor >= 7.00;SMK;TANGERANG;TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;6,00;2,83;
13;Pria;Nilai Rapor >= 7.00;SMA;TANGERANG;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;3,50;3,33;
13;Pria;Nilai Rapor >= 7.00;SMA;TANGERANG;NON TEKNIK INFORMATIKA;TEKNIK INFORMATIKA;5,00;2,94;
